HDI Rank,country,Gross national income (GNI) per capita (2017 PPP $) (2019),HDI rank - (2018),continent
169,Afghanistan,"2,229",169,Asia
69,Albania,"13,998",68,Europe
91,Algeria,"11,174",91,Africa
36,Andorra,"56,000",36,Europe
148,Angola,"6,104",145,Africa
78,Antigua and Barbuda,"20,895",80,North America
46,Argentina,"21,190",46,South America
81,Armenia,"13,894",72,Asia
8,Australia,"48,085",7,Oceania
18,Austria,"56,197",18,Europe
88,Azerbaijan,"13,784",88,Asia
58,Bahamas,"33,747",58,North America
42,Bahrain,"42,522",41,Asia
133,Bangladesh,"4,976",134,Asia
58,Barbados,"14,936",60,North America
53,Belarus,"18,546",49,Europe
14,Belgium,"52,085",13,Europe
110,Belize,"6,382",108,North America
158,Benin,"3,254",158,Africa
129,Bhutan,"10,746",131,Asia
107,Bolivia (Plurinational State of),"8,554",108,South America
73,Bosnia and Herzegovina,"14,872",76,Europe
100,Botswana,"16,437",102,Africa
84,Brazil,"14,263",84,South America
47,Brunei Darussalam,"63,965",47,Asia
56,Bulgaria,"23,325",55,Europe
182,Burkina Faso,"2,133",183,Africa
185,Burundi,754,184,Africa
126,Cabo Verde,"7,019",125,Africa
144,Cambodia,"4,246",144,Asia
153,Cameroon,"3,581",153,Africa
16,Canada,"48,527",14,North America
188,Central African Republic,993,188,Africa
187,Chad,"1,555",187,Africa
43,Chile,"23,261",43,South America
85,China,"16,057",87,Asia
83,Colombia,"14,257",83,South America
156,Comoros,"3,099",154,Africa
149,republic of the congo,"2,879",149,Africa
175,DR Congo,"1,063",174,Africa
62,Costa Rica,"18,486",61,North America
162,Côte d'Ivoire,"5,069",161,Africa
43,Croatia,"28,070",44,Europe
70,Cuba,"8,621",71,North America
33,Cyprus,"38,207",32,Europe
27,Czech Republic,"38,109",26,Europe
10,Denmark,"58,662",10,Europe
166,Djibouti,"5,689",166,Africa
94,Dominica,"11,884",94,North America
88,Dominican Republic,"17,591",89,North America
86,Ecuador,"11,044",84,South America
116,Egypt,"11,466",117,Africa
124,El Salvador,"8,359",124,North America
145,Equatorial Guinea,"13,944",145,Africa
180,Eritrea,"2,793",180,Africa
29,Estonia,"36,019",30,Europe
138,Eswatini (Kingdom of),"7,919",139,Africa
173,Ethiopia,"2,207",174,Africa
93,Fiji,"13,009",93,Oceania
11,Finland,"48,511",11,Europe
26,France,"47,173",26,Europe
119,Gabon,"13,930",119,Africa
172,Gambia,"2,168",172,Africa
61,Georgia,"14,429",63,Asia
6,Germany,"55,314",4,Europe
138,Ghana,"5,269",138,Africa
32,Greece,"30,155",33,Europe
74,Grenada,"15,641",74,North America
127,Guatemala,"8,494",128,North America
178,Guinea,"2,405",177,Africa
175,Guinea-Bissau,"1,996",178,Africa
122,Guyana,"9,455",121,South America
170,Haiti,"1,709",170,North America
132,Honduras,"5,308",132,North America
4,Hong Kong,"62,985",4,Asia
40,Hungary,"31,329",42,Europe
4,Iceland,"54,682",4,Europe
131,India,"6,681",130,Asia
107,Indonesia,"11,459",110,Asia
70,Iran,"12,447",70,Asia
123,Iraq,"10,801",123,Asia
2,Ireland,"68,371",3,Europe
19,Israel,"40,187",21,Asia
29,Italy,"42,776",29,Europe
101,Jamaica,"9,319",98,North America
19,Japan,"42,932",20,Asia
102,Jordan,"9,858",103,Asia
51,Kazakhstan,"22,857",53,Asia
143,Kenya,"4,244",141,Africa
134,Kiribati,"4,260",133,Oceania
23,South Korea,"43,044",22,Asia
64,Kuwait,"58,590",62,Asia
120,Kyrgyzstan,"4,864",120,Asia
137,Lao People's Democratic Republic,"7,413",137,Asia
37,Latvia,"30,282",37,Europe
92,Lebanon,"14,655",90,Asia
165,Lesotho,"3,151",165,Africa
175,Liberia,"1,258",173,Africa
105,Libya,"15,688",106,Africa
19,Liechtenstein,"131,032",19,Europe
34,Lithuania,"35,799",35,Europe
23,Luxembourg,"72,712",23,Europe
164,Madagascar,"1,596",163,Africa
174,Malawi,"1,035",174,Africa
62,Malaysia,"27,534",63,Asia
95,Maldives,"17,417",98,Asia
184,Mali,"2,269",184,Africa
28,Malta,"39,555",28,Europe
117,Marshall Islands,"5,039",116,Oceania
157,Mauritania,"5,135",157,Africa
66,Mauritius,"25,266",66,Africa
74,Mexico,"19,160",76,North America
136,Micronesia (Federated States of),"3,983",136,Oceania
90,Moldova (Republic of),"13,664",91,Europe
99,Mongolia,"10,839",97,Asia
48,Montenegro,"21,399",48,Europe
121,Morocco,"7,368",121,Africa
181,Mozambique,"1,250",181,Africa
147,Myanmar,"4,961",148,Asia
130,Namibia,"9,357",129,Africa
142,Nepal,"3,457",143,Asia
8,Netherlands,"57,707",9,Europe
14,New Zealand,"40,799",14,Oceania
128,Nicaragua,"5,284",127,North America
189,Niger,"1,201",189,Africa
161,Nigeria,"4,910",161,Africa
82,North Macedonia,"15,865",82,Europe
1,Norway,"66,494",1,Europe
60,Oman,"25,944",56,Asia
154,Pakistan,"5,005",154,Asia
50,Palau,"19,317",52,Oceania
115,"Palestine, State of","6,417",114,Asia
57,Panama,"29,558",58,North America
155,Papua New Guinea,"4,301",156,Oceania
103,Paraguay,"12,224",104,South America
79,Peru,"12,252",78,South America
107,Philippines,"9,778",111,Asia
35,Poland,"31,623",34,Europe
38,Portugal,"33,967",38,Europe
45,Qatar,"92,418",45,Asia
49,Romania,"29,497",49,Europe
52,Russia,"26,157",49,Europe
160,Rwanda,"2,155",159,Africa
74,Saint Kitts and Nevis,"25,038",75,North America
86,Saint Lucia,"14,616",86,North America
97,Saint Vincent and the Grenadines,"12,378",96,North America
111,Samoa,"6,309",113,Oceania
135,Sao Tome and Principe,"3,952",135,Africa
40,Saudi Arabia,"47,495",40,Asia
168,Senegal,"3,309",167,Africa
64,Serbia,"17,192",65,Europe
67,Seychelles,"26,903",69,Africa
182,Sierra Leone,"1,668",182,Africa
11,Singapore,"88,155",12,Asia
39,Slovakia,"32,113",39,Europe
22,Slovenia,"38,080",24,Europe
151,Solomon Islands,"2,253",151,Oceania
114,South Africa,"12,129",115,Africa
185,South Sudan,"2,003",186,Africa
25,Spain,"40,975",25,Europe
72,Sri Lanka,"12,707",73,Asia
170,Sudan,"3,829",171,Africa
97,Suriname,"14,324",98,South America
7,Sweden,"54,508",7,Europe
2,Switzerland,"69,394",2,Europe
151,Syrian Arab Republic,"3,613",152,Asia
125,Tajikistan,"3,954",126,Asia
163,Tanzania,"2,600",164,Africa
79,Thailand,"17,781",80,Asia
141,Timor-Leste,"4,440",141,Asia
167,Togo,"1,602",168,Africa
104,Tonga,"6,365",105,Oceania
67,Trinidad and Tobago,"26,231",67,North America
95,Tunisia,"10,414",94,Africa
54,Turkey,"27,701",54,Asia
111,Turkmenistan,"14,909",112,Asia
159,Uganda,"2,123",160,Africa
74,Ukraine,"13,216",78,Europe
31,United Arab Emirates,"67,462",30,Asia
13,United Kingdom,"46,071",14,Europe
17,United States,"63,826",17,North America
55,Uruguay,"20,064",56,South America
106,Uzbekistan,"7,142",107,Asia
140,Vanuatu,"3,105",140,Oceania
113,Venezuela (Bolivarian Republic of),"7,045",101,South America
117,Vietnam,"7,433",118,Asia
179,Yemen,"1,594",179,Asia
146,Zambia,"3,326",145,Africa
150,Zimbabwe,"2,666",150,Africa